created_at,entry_id,field1,field2,field3,field4,field5,latitude,longitude,elevation,status
2025-06-09T05:49:45+00:00,1,25.62297,62.08839,18180,0,,,,,
2025-06-09T05:50:04+00:00,2,25.95754,62.17943,37904,0,,,,,
2025-06-09T05:50:24+00:00,3,26.28527,61.44728,47193,0,,,,,
2025-06-09T05:50:43+00:00,4,26.58586,60.70708,52140,0,,,,,
2025-06-09T05:51:03+00:00,5,26.7634,60.67673,55405,0,,,,,
2025-06-09T05:51:22+00:00,6,26.73449,61.062,57450,0,,,,,
2025-06-09T05:51:41+00:00,7,26.78801,60.97537,58045,0,,,,,
2025-06-09T05:52:01+00:00,8,26.98684,60.07428,58816,0,,,,,
2025-06-09T05:52:21+00:00,9,27.22062,60.21865,58981,0,,,,,
2025-06-09T05:52:40+00:00,10,27.56105,59.38718,57885,0,,,,,
2025-06-09T05:52:59+00:00,11,28.06477,57.38069,58125,0,,,,,
2025-06-09T05:53:19+00:00,12,28.45812,56.55096,58085,0,,,,,
2025-06-09T05:53:39+00:00,13,28.37941,57.31656,58367,0,,,,,
2025-06-09T05:53:58+00:00,14,28.00168,58.35594,59189,0,,,,,
2025-06-09T05:54:17+00:00,15,27.59973,59.40627,59231,0,,,,,
2025-06-09T05:54:37+00:00,16,27.24797,60.0294,59821,0,,,,,
2025-06-09T05:54:56+00:00,17,26.95305,60.63301,60206,0,,,,,
2025-06-09T05:55:16+00:00,18,26.73313,61.03094,60728,0,,,,,
2025-06-09T05:55:35+00:00,19,26.65363,61.07697,60163,0,,,,,
2025-06-09T05:55:54+00:00,20,26.62648,61.04686,60249,0,,,,,
2025-06-09T05:56:14+00:00,21,26.62219,61.07401,60466,0,,,,,
2025-06-09T05:56:33+00:00,22,26.64543,61.10548,60553,0,,,,,
2025-06-09T05:56:52+00:00,23,26.6632,61.05272,60772,0,,,,,
2025-06-09T05:57:11+00:00,24,26.65363,61.01163,60904,0,,,,,
2025-06-09T05:57:30+00:00,25,26.59621,61.17024,60728,0,,,,,
2025-06-09T05:57:49+00:00,26,26.46125,61.57162,61037,0,,,,,
2025-06-09T05:58:09+00:00,27,26.38039,61.86206,61081,0,,,,,
2025-06-09T05:58:29+00:00,28,26.44543,62.04089,60510,0,,,,,
2025-06-09T05:58:49+00:00,29,26.4591,61.50856,60641,0,,,,,
2025-06-09T05:59:08+00:00,30,26.40441,61.8239,60293,0,,,,,
2025-06-09T05:59:31+00:00,31,26.42473,61.81585,60466,0,,,,,
2025-06-09T05:59:50+00:00,32,26.44641,62.10864,58816,0,,,,,
2025-06-09T06:00:09+00:00,33,26.43449,61.72829,60034,0,,,,,
2025-06-09T06:00:28+00:00,34,26.47062,61.57191,60293,0,,,,,
2025-06-09T06:00:48+00:00,35,26.5591,61.39337,60163,0,,,,,
2025-06-09T06:01:08+00:00,36,26.64387,61.29895,59821,0,,,,,
2025-06-09T06:01:27+00:00,37,26.67297,61.47061,60034,0,,,,,
2025-06-09T06:01:47+00:00,38,26.62082,61.46789,60163,0,,,,,
2025-06-09T06:02:06+00:00,39,26.55461,61.53861,59778,0,,,,,
2025-06-09T06:02:25+00:00,40,26.48391,61.49931,60772,0,,,,,
2025-06-09T06:02:45+00:00,41,26.47766,61.52728,60293,0,,,,,
2025-06-09T06:03:04+00:00,42,26.57805,61.23775,59821,0,,,,,
2025-06-09T06:03:23+00:00,43,26.66594,61.05679,59821,0,,,,,
2025-06-09T06:03:43+00:00,44,26.72277,61.21024,60206,0,,,,,
2025-06-09T06:04:03+00:00,45,26.68742,60.97767,59821,0,,,,,
2025-06-09T06:04:23+00:00,46,26.60324,61.10314,59609,0,,,,,
2025-06-09T06:04:43+00:00,47,26.58996,60.99538,59440,0,,,,,
2025-06-09T06:05:02+00:00,48,26.55344,61.28507,59524,0,,,,,
2025-06-09T06:05:21+00:00,49,26.50852,61.27448,59821,0,,,,,
2025-06-09T06:05:41+00:00,50,26.48937,61.3707,60249,0,,,,,
2025-06-09T06:05:59+00:00,51,26.50539,61.31752,59906,0,,,,,
2025-06-09T06:06:33+00:00,52,26.29719,60.95788,58005,0,Safe,,,,
2025-06-09T06:06:52+00:00,53,26.45832,61.20959,58857,0,Safe,,,,
2025-06-09T06:07:09+00:00,54,25.77766,60.98391,50390,0,Safe,,,,
2025-06-09T06:07:29+00:00,55,26.07883,61.23125,57293,0,Safe,,,,
2025-06-09T06:07:49+00:00,56,26.33215,61.21177,57686,0,Safe,,,,
2025-06-09T06:08:07+00:00,57,26.50891,61.09007,58611,0,Safe,,,,
2025-06-09T06:08:27+00:00,58,26.62785,61.11184,58570,0,Safe,,,,
2025-06-09T06:08:47+00:00,59,26.75246,60.92998,58775,0,Safe,,,,
2025-06-09T06:09:06+00:00,60,26.81418,60.56143,58530,0,Safe,,,,
2025-06-09T06:09:25+00:00,61,26.86574,61.72084,58205,0,Safe,,,,
2025-06-09T06:09:45+00:00,62,26.93801,60.27278,58899,0,Safe,,,,
2025-06-09T06:10:04+00:00,63,26.79875,60.77144,58611,0,Safe,,,,
2025-06-09T06:10:23+00:00,64,26.70578,60.7373,59023,0,Safe,,,,
2025-06-09T06:10:43+00:00,65,26.63254,60.92698,59314,0,Safe,,,,
2025-06-09T06:11:02+00:00,66,26.5966,60.94959,59106,0,Safe,,,,
2025-06-09T06:11:21+00:00,67,26.57551,60.99232,59231,0,Safe,,,,
2025-06-09T06:11:41+00:00,68,26.5216,61.21291,59231,0,Safe,,,,
2025-06-09T06:12:13+00:00,69,25.8427,62.36785,44569,0,ALARM,,,,
2025-06-09T06:12:32+00:00,70,26.17394,61.55381,55006,0,ALARM,,,,
2025-06-09T06:12:51+00:00,71,26.46125,60.80008,56982,0,ALARM,,,,
2025-06-09T06:13:10+00:00,72,26.62082,60.63601,57925,0,ALARM,,,,
2025-06-09T06:13:30+00:00,73,26.67883,60.49834,58125,0,ALARM,,,,
2025-06-09T06:13:49+00:00,74,26.6298,60.67426,58448,0,ALARM,,,,
2025-06-09T06:14:09+00:00,75,26.59523,60.7192,58530,0,ALARM,,,,
2025-06-09T06:14:28+00:00,76,26.63156,60.86627,57925,0,ALARM,,,,
2025-06-09T06:14:48+00:00,77,26.66438,60.76093,58246,0,ALARM,,,,
2025-06-09T06:15:07+00:00,78,26.61418,60.92964,58005,0,ALARM,,,,
2025-06-09T06:15:26+00:00,79,26.61457,62.14679,57765,0,ALARM,,,,
2025-06-09T06:15:46+00:00,80,26.85109,66.0583,56905,0,ALARM,,,,
2025-06-09T06:16:14+00:00,81,26.74621,61.0984,56751,0,Safe,,,,
2025-06-09T06:16:34+00:00,82,26.80539,60.43854,57686,0,Safe,,,,
2025-06-09T06:16:53+00:00,83,26.76379,60.44961,58327,0,Safe,,,,
2025-06-09T06:17:15+00:00,84,25.8968,60.13654,53331,0,ALARM,,,,
2025-06-09T06:17:34+00:00,85,26.16086,61.17338,56828,0,ALARM,,,,
2025-06-09T06:18:00+00:00,86,26.16027,60.9292,58570,0,Safe,,,,
2025-06-09T06:18:20+00:00,87,26.36086,60.94926,58530,0,Safe,,,,
2025-06-09T06:18:40+00:00,88,26.50227,60.83588,58327,0,Safe,,,,
2025-06-09T06:18:59+00:00,89,26.57258,60.6036,57528,0,Safe,,,,
2025-06-09T06:19:19+00:00,90,26.6048,60.63621,58125,0,Safe,,,,
2025-06-09T06:19:38+00:00,91,26.63508,60.49374,58165,0,Safe,,,,
2025-06-09T06:19:57+00:00,92,26.6509,60.4903,58246,0,Safe,,,,
2025-06-09T06:20:17+00:00,93,26.67707,60.79852,57925,0,Safe,,,,
2025-06-09T06:20:36+00:00,94,26.69973,60.53026,57686,0,Safe,,,,
2025-06-09T06:20:55+00:00,95,26.69055,60.53896,57925,0,Safe,,,,
2025-06-09T06:21:15+00:00,96,26.6632,60.51073,58085,0,Safe,,,,
2025-06-09T06:21:34+00:00,97,26.65812,60.46971,57965,0,Safe,,,,
2025-06-09T06:21:53+00:00,98,26.66281,60.55798,58005,0,Safe,,,,
2025-06-09T06:22:13+00:00,99,26.68019,60.5201,57925,0,Safe,,,,
2025-06-09T06:22:46+00:00,100,26.03371,60.97723,56409,0,0,,,,
2025-06-09T06:23:06+00:00,101,26.17883,61.21279,57371,0,0,,,,
2025-06-09T06:23:25+00:00,102,26.21457,61.41357,57647,0,0,,,,
2025-06-09T06:23:44+00:00,103,26.32746,61.64708,57293,0,0,,,,
2025-06-09T06:24:16+00:00,104,25.97453,62.24263,56145,0,1,,,,
2025-06-09T06:24:35+00:00,105,26.18332,62.29713,56867,0,1,,,,
2025-06-09T06:24:55+00:00,106,26.23937,62.75394,57293,0,1,,,,
2025-06-09T06:25:14+00:00,107,26.19348,63.35244,57254,0,1,,,,
2025-06-09T06:25:33+00:00,108,26.2132,63.70635,57489,0,1,,,,
2025-06-09T06:25:52+00:00,109,26.23625,63.94978,57332,0,1,,,,
2025-06-09T06:26:12+00:00,110,26.2927,63.80971,56485,0,1,,,,
2025-06-09T06:26:31+00:00,111,26.3552,63.92639,56905,0,1,,,,
2025-06-09T06:26:50+00:00,112,26.34016,64.60464,56751,0,1,,,,
2025-06-09T06:27:10+00:00,113,26.34484,64.63263,56790,0,1,,,,
2025-06-09T06:27:36+00:00,114,25.93605,65.48862,57060,0,1,,,,
2025-06-09T06:27:55+00:00,115,26.11164,65.96822,56447,0,1,,,,
2025-06-09T06:28:15+00:00,116,26.24016,65.85723,56333,0,1,,,,
2025-06-09T06:28:34+00:00,117,26.3423,65.94162,55847,0,1,,,,
2025-06-09T06:28:54+00:00,118,26.43977,65.59001,55958,0,1,,,,
2025-06-09T06:29:13+00:00,119,26.50832,65.99222,55847,0,1,,,,
2025-06-09T06:29:33+00:00,120,26.51906,65.98936,55735,0,1,,,,
2025-06-09T06:29:53+00:00,121,26.47043,66.95274,55042,0,1,,,,
2025-06-09T06:30:12+00:00,122,26.47062,66.91063,55006,0,1,,,,
2025-06-09T06:30:32+00:00,123,26.50539,66.67538,55114,0,1,,,,
2025-06-09T06:30:51+00:00,124,26.55266,66.59978,55259,0,1,,,,
2025-06-09T06:31:10+00:00,125,26.64894,66.23372,55368,0,1,,,,
2025-06-09T06:31:30+00:00,126,26.67668,66.91137,54970,0,1,,,,
2025-06-09T06:31:49+00:00,127,26.60695,67.29935,55078,0,1,,,,
2025-06-09T06:32:09+00:00,128,26.54601,67.62923,55332,0,1,,,,
2025-06-09T06:32:28+00:00,129,26.55715,68.00877,54648,0,1,,,,
2025-06-09T06:32:48+00:00,130,26.59367,67.94073,54898,0,1,,,,
2025-06-09T06:33:07+00:00,131,26.67101,67.75794,54578,0,1,,,,
2025-06-09T06:33:26+00:00,132,26.74836,67.92464,54507,0,1,,,,
2025-06-09T06:33:45+00:00,133,26.79055,68.12996,54613,0,1,,,,
2025-06-09T06:34:05+00:00,134,26.81926,68.14757,54436,0,1,,,,
2025-06-09T06:34:24+00:00,135,26.81418,68.61681,54720,0,1,,,,
2025-06-09T06:34:44+00:00,136,26.78332,68.85995,54260,0,1,,,,
2025-06-09T06:35:04+00:00,137,26.7675,68.70626,53809,0,1,,,,
2025-06-09T06:35:23+00:00,138,26.75441,69.22588,54225,0,1,,,,
2025-06-09T06:35:43+00:00,139,26.69309,69.55637,53982,0,1,,,,
2025-06-09T06:36:03+00:00,140,26.64328,70.25888,53603,0,1,,,,
2025-06-09T06:36:22+00:00,141,26.66848,69.84171,53637,0,1,,,,
2025-06-09T06:36:43+00:00,142,26.68996,69.78929,53947,0,1,,,,
2025-06-09T06:37:03+00:00,143,26.6925,69.94154,53297,0,1,,,,
2025-06-09T06:37:26+00:00,144,26.71457,70.0715,53331,0,1,,,,
2025-06-09T06:37:46+00:00,145,26.74133,69.98469,52011,0,1,,,,
2025-06-09T06:38:05+00:00,146,26.72434,70.21962,52961,0,1,,,,
